step,tokens,train_loss,val_loss,lr,tok_per_sec
10,2621440,21.6221,,3.000000e-06,36153
20,5242880,16.3791,,6.000000e-06,125492
30,7864320,10.4374,,9.000000e-06,125756
40,10485760,9.5022,,1.200000e-05,125643
50,13107200,9.0717,,1.500000e-05,125549
60,15728640,8.8682,,1.800000e-05,125544
70,18350080,8.5833,,2.100000e-05,125285
80,20971520,8.2748,,2.400000e-05,125123
90,23592960,7.9593,,2.700000e-05,125102
100,26214400,7.7081,,3.000000e-05,125022
110,28835840,7.4692,,3.300000e-05,124862
120,31457280,7.2761,,3.600000e-05,124863
130,34078720,7.1693,,3.900000e-05,124963
140,36700160,7.0673,,4.200000e-05,124951
150,39321600,6.9504,,4.500000e-05,125340
160,41943040,6.8360,,4.800000e-05,125423
170,44564480,6.7353,,5.100000e-05,124919
180,47185920,6.6619,,5.400000e-05,124775
190,49807360,6.6063,,5.700000e-05,125063
200,52428800,6.5260,,6.000000e-05,125090
210,55050240,6.4196,,6.300000e-05,125021
220,57671680,6.3713,,6.600000e-05,125075
230,60293120,6.2600,,6.900000e-05,125070
240,62914560,6.1922,,7.200000e-05,125242
250,65536000,6.1311,,7.500000e-05,124848
260,68157440,6.0904,,7.800000e-05,124858
270,70778880,6.0357,,8.100000e-05,125288
280,73400320,5.9946,,8.400000e-05,125152
290,76021760,5.9274,,8.700000e-05,125143
300,78643200,5.8815,,9.000000e-05,125606
310,81264640,5.8230,,9.300000e-05,125374
320,83886080,5.7534,,9.600000e-05,125248
330,86507520,5.7035,,9.900000e-05,125255
340,89128960,5.6332,,1.020000e-04,125324
350,91750400,5.6022,,1.050000e-04,125051
360,94371840,5.5426,,1.080000e-04,125435
370,96993280,5.4817,,1.110000e-04,125363
380,99614720,5.4746,,1.140000e-04,125478
390,102236160,5.4093,,1.170000e-04,125013
400,104857600,5.3556,,1.200000e-04,124801
410,107479040,5.3188,,1.230000e-04,125203
420,110100480,5.3030,,1.260000e-04,125023
430,112721920,5.2285,,1.290000e-04,124927
440,115343360,5.2300,,1.320000e-04,124738
450,117964800,5.1928,,1.350000e-04,125427
460,120586240,5.1323,,1.380000e-04,125444
470,123207680,5.1042,,1.410000e-04,123232
480,125829120,5.0557,,1.440000e-04,125005
490,128450560,5.0169,,1.470000e-04,124964
500,131072000,4.9951,,1.500000e-04,124764
500,131072000,,4.9778,1.500000e-04,
510,133693440,4.9568,,1.530000e-04,126978
520,136314880,4.9324,,1.560000e-04,125192
530,138936320,4.9004,,1.590000e-04,125060
540,141557760,4.8700,,1.620000e-04,124813
550,144179200,4.8524,,1.650000e-04,124804
560,146800640,4.8107,,1.680000e-04,124839
570,149422080,4.7994,,1.710000e-04,124957
580,152043520,4.7680,,1.740000e-04,124704
590,154664960,4.7391,,1.770000e-04,124333
600,157286400,4.7103,,1.800000e-04,124433
610,159907840,4.6850,,1.830000e-04,124711
620,162529280,4.6770,,1.860000e-04,124576
630,165150720,4.6313,,1.890000e-04,124704
640,167772160,4.6028,,1.920000e-04,124728
650,170393600,4.6376,,1.950000e-04,124581
660,173015040,4.5844,,1.980000e-04,124496
670,175636480,4.5509,,2.010000e-04,124351
680,178257920,4.5438,,2.040000e-04,124567
690,180879360,4.5094,,2.070000e-04,124393
700,183500800,4.4737,,2.100000e-04,124551
710,186122240,4.4688,,2.130000e-04,124856
720,188743680,4.4327,,2.160000e-04,124424
730,191365120,4.4183,,2.190000e-04,124895
740,193986560,4.3748,,2.220000e-04,125630
750,196608000,4.3671,,2.250000e-04,125837
760,199229440,4.3357,,2.280000e-04,125686
770,201850880,4.3230,,2.310000e-04,125752
780,204472320,4.2698,,2.340000e-04,125810
790,207093760,4.2767,,2.370000e-04,125607
800,209715200,4.2525,,2.400000e-04,125297
810,212336640,4.2686,,2.430000e-04,124842
820,214958080,4.2190,,2.460000e-04,124651
830,217579520,4.2102,,2.490000e-04,124706
840,220200960,4.1792,,2.520000e-04,124690
850,222822400,4.1659,,2.550000e-04,125090
860,225443840,4.1681,,2.580000e-04,124629
870,228065280,4.1203,,2.610000e-04,125414
880,230686720,4.1062,,2.640000e-04,125300
890,233308160,4.0950,,2.670000e-04,122920
900,235929600,4.0809,,2.700000e-04,124985
910,238551040,4.0921,,2.730000e-04,124955
920,241172480,4.0357,,2.760000e-04,124778
930,243793920,4.0307,,2.790000e-04,124729
940,246415360,4.0100,,2.820000e-04,125108
950,249036800,4.0165,,2.850000e-04,125560
960,251658240,3.9876,,2.880000e-04,124757
970,254279680,4.0038,,2.910000e-04,125567
980,256901120,3.9850,,2.940000e-04,123694
990,259522560,3.9767,,2.970000e-04,124837
1000,262144000,3.9557,,3.000000e-04,125065
1000,262144000,,3.9543,3.000000e-04,
1010,264765440,3.9798,,3.000000e-04,127519
1020,267386880,3.9615,,2.999998e-04,126349
1030,270008320,3.9280,,2.999996e-04,126056
1040,272629760,3.9353,,2.999993e-04,125739
1050,275251200,3.8708,,2.999988e-04,125547
1060,277872640,3.8817,,2.999983e-04,125688
1070,280494080,3.9030,,2.999977e-04,125873
1080,283115520,3.8850,,2.999969e-04,125583
1090,285736960,3.8408,,2.999961e-04,125565
1100,288358400,3.8500,,2.999952e-04,125584
1110,290979840,3.8678,,2.999941e-04,125565
1120,293601280,3.8271,,2.999930e-04,125585
1130,296222720,3.8398,,2.999918e-04,125494
1140,298844160,3.8141,,2.999905e-04,125526
1150,301465600,3.8015,,2.999891e-04,125516
1160,304087040,3.8020,,2.999875e-04,125439
1170,306708480,3.7920,,2.999859e-04,125570
1180,309329920,3.8090,,2.999842e-04,124815
1190,311951360,3.7727,,2.999824e-04,125380
1200,314572800,3.8290,,2.999805e-04,125363
1210,317194240,3.8139,,2.999785e-04,125473
1220,319815680,3.7444,,2.999764e-04,125523
1230,322437120,3.7667,,2.999742e-04,125318
1240,325058560,3.7372,,2.999718e-04,125575
1250,327680000,3.7566,,2.999694e-04,125460
1260,330301440,3.7628,,2.999669e-04,125487
1270,332922880,3.7520,,2.999643e-04,125439
1280,335544320,3.7438,,2.999616e-04,125132
1290,338165760,3.7360,,2.999588e-04,124920
1300,340787200,3.7428,,2.999559e-04,125088
1310,343408640,3.6974,,2.999529e-04,125275
1320,346030080,3.7173,,2.999498e-04,125295
1330,348651520,3.7206,,2.999467e-04,124701
1340,351272960,3.7097,,2.999434e-04,124571
1350,353894400,3.7237,,2.999400e-04,124980
1360,356515840,3.6792,,2.999365e-04,125043
1370,359137280,3.7023,,2.999329e-04,125045
1380,361758720,3.7071,,2.999292e-04,124963
1390,364380160,3.6756,,2.999254e-04,125135
1400,367001600,3.6874,,2.999215e-04,125152
1410,369623040,3.6608,,2.999176e-04,124781
1420,372244480,3.6879,,2.999135e-04,124614
1430,374865920,3.6297,,2.999093e-04,124634
1440,377487360,3.6875,,2.999050e-04,124651
1450,380108800,3.6222,,2.999006e-04,124380
1460,382730240,3.6354,,2.998962e-04,124572
1470,385351680,3.6300,,2.998916e-04,124593
1480,387973120,3.6443,,2.998869e-04,124619
1490,390594560,3.6328,,2.998822e-04,124617
1500,393216000,3.6310,,2.998773e-04,124882
1500,393216000,,3.6194,2.998773e-04,
1510,395837440,3.6088,,2.998723e-04,127243
1520,398458880,3.6156,,2.998673e-04,125931
1530,401080320,3.6151,,2.998621e-04,125746
1540,403701760,3.6155,,2.998568e-04,125312
1550,406323200,3.6018,,2.998515e-04,125250
1560,408944640,3.6197,,2.998460e-04,124854
1570,411566080,3.6170,,2.998405e-04,124978
1580,414187520,3.6085,,2.998348e-04,125145
1590,416808960,3.6163,,2.998290e-04,124944
1600,419430400,3.5914,,2.998232e-04,124718
1610,422051840,3.5777,,2.998172e-04,124888
1620,424673280,3.5882,,2.998112e-04,124822
1630,427294720,3.6024,,2.998050e-04,122892
1640,429916160,3.5780,,2.997988e-04,124618
